,,,,,,,,,,,,,,,,,,,,,,,,,
,03-09-2026,Kingsten,ELITE MATRICULATION HR SEC SCHOOL,REDHILLS,250+,,,,,,Career Guidance,No,,Warm,,,,,,,Program Discussion Ongoing,,,They need appointment for meet Principal. I shared details will be planned to secretary. They will update later.,
,03-09-2026,Kingsten,Children's Paradise Mat Hr Sec school,REDHILLS,,GOPINATH,Vice Principal,,9444661674,,Career Guidance,No,,Warm,,,,,CALL BACK SEP 7TH,Follow up with Principal,Program Discussion Ongoing,,,Discussed with Vice Principal. Positive response. Principal and correspondant is out of station. He will convey our awareness program motive and then call back on Monday. ,
,03-09-2026,Kingsten,ALPHA MATRIC HR SEC SCHOOL,REDHILLS,200+,,Other,OFFICE,8110086720,,Career Guidance,No,,Warm,,,,,,Follow up with Principal,Program Discussion Ongoing,,,"Discussed with Principal Mr. Navaneetha krishnan, Almost got Permission. He is much interested to do this program. They need to discuss with correspondant and then get back the scheduled date.
He is requested to send the Agenda to whatsapp number. ",
,03-09-2026,Kingsten,ST JOSEPH HR SEC SCHOOL,REDHILLS,,,Principal,,,,,,,Hot,,,,,,Follow up with Principal,Program Confirmed,,,"Discussed with correspondant Mr.Ebi and Principal Mr.Prakash. 

Got Permission

Date: 11th or 14th Sep 2026
Time: 3:00pm
Duration: 1 hour",
,03-09-2026,Kingsten,ST MARY'S MATRIC HR SEC SCHOOL,REDHILLS,100+,OFFICE,,,044 2641 8337,,Career Guidance,No,,Hot,,,,,,Follow up with Principal,Program Confirmed,,,"After quarterly exam the date will be given. Program max scheduling from Oct 5th to Oct 10th. 

Call Remainder: 5th October 2026",Call Remainder: 5th October 2026
,03-09-2026,Kingsten,LOTUS MATRIC HR SEC SCHOOL,REDHILLS,20+,ARUNACHALAM,Principal,,86086 45024,,Career Guidance,No,,Hot,,,,,,Follow up with Principal,Program Confirmed,,,"Discussed with principal. Got Permission 

Date: Oct 8th or 9th plan to conduct orientation.",
,03-09-2026,Kingsten,HOLY CHILD MATRIC HR SEC SCHOOL,REDHILLS,,OFFICE,,,9941243348,,,,,Warm,,,,,,,,,,Principal struck with busy meeting. Receptionist update back after discussed with principal.,
,03-09-2026,Kingsten,DR SIVANTHI ADITHANAR SCHOOL,REDHILLS,,,,,,,,,,Warm,,,,,,,,,,They have interschool volleyball tournament. So I can't meet official staffs. Better to visit next day orientation period.,
,03-09-2026,Manikandan,Joshua School,Padi,10+,Correspondent,Correspondent,,98840 11611,,Career Guidance,No,,Warm,,,,,,Follow up with Correspondent,Program Discussion Ongoing,,,"They are very interested, but they have a very small number of students.",
,03-09-2026,Manikandan,Chennai Public School,"TVS Avenue Main Road, Anna Nagar West Extension, Chennai, Tamil Nadu 600101",350,office,Admin,,87544 81277,,Career Guidance,No,,Cold,,,,,,Call,,,,Need an appointment to meet Decision makers,
,03-09-2026,Manikandan,Good Shepherd School,"352/10, Railway Station Road, Kammalar Street, korattur,
Chennai - 600080.",29,Principal ,Principal,,99628 49593,principal@goodshepherdkorattur.com,Career Guidance,No,,Hot,,,,,,,Program Confirmed,,,"They approved our orientation program for October 5th but denied our request to collect student details via a form. Consequently, I pitched a scholarship program instead, which they accepted.",
,03-09-2026,Manikandan,Rudhrappa Swami School,"Karukku Main Rd, Pattravakkam, Karukku, Ambattur, Chennai, Tamil Nadu 600053",,,Admin,,96000 31000,,,,,Cold,,,,,,,,,,Need an appointment to meet Decision makers,
,03-09-2026,Manikandan,Nallikuppam Vivekananda Vidyalaya Junior College,"11th Street, TNHB Colony, Korattur, Chennai - 600050 (Near Lucas TVS).",,,Principal,,,,,,,Cold,,,,,,,,,,Issued brochure and discussed with principal. They won't encourage this kind of orientation so rejected.,
,03-09-2026,Manikandan,CS Central School,"31, Malayathaman, Koil Street, Ambattur Estate Rd, Mannurpet, Chennai, Tamil Nadu 600050",,Chamundeshwari ,Principal,,98412 27787,,Career Guidance,No,,Hot,,Saturday,,,Follow up with Principal,Follow up with Principal,Program Confirmed,,,Program confirmed. Saturday follow-up for date confirmation.,
,03-09-2026,Manikandan,Velammal Vidyalaya (CBSE),"Block No, 7, 1st Main Rd, Mogappair West, Mogappair East, Chennai, Tamil Nadu 600037",250,,Management Representative,,044 2653 3312,,Career Guidance,No,,Warm,,,,,,,,,,Almost confirmed; they discussed and will call back today evening.,
,03-09-2026,Manikandan,Velammal Vidyalaya Ayanambakkam (Main Campus) ,"Mel Ayanambakkam Main Rd, Mel Ayanambakkam, Kil Ayanambakkam, Thiruverkadu, Tamil Nadu 600095",,,,, +91 99400 25554 ,,,,,Cold,,,,,,,,,,Got an Appointment to meet principal on Tuesday ,
,03-09-2026,Manikandan,St. Mary's Matriculation Higher Secondory School,"No.3, St Marys Street, Athipet, Kalaivanar Nagar, Udayar Palayam Nagar, Ambattur, Chennai, Tamil Nadu 600058",,,,,,,,,,Cold,,,,,,,,,,They won't encourage this kind of orientation so rejected.,
